+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 1001     | 
| noServices    | 0        | 
| noShipments   | 1001     | 
| noBreaks      | 0        | 
| fleetsize     | INFINITE | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 124121.0                                 | 
| noVehicles    | 26                                       | 
| unassgndJobs  | 0                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 1       | vehicle10            | pickupShipment        | 143             | 95              | 96              | 2605            |
| 1       | vehicle10            | pickupShipment        | 930             | 96              | 97              | 2605            |
| 1       | vehicle10            | pickupShipment        | 976             | 97              | 98              | 2605            |
| 1       | vehicle10            | pickupShipment        | 279             | 98              | 99              | 2605            |
| 1       | vehicle10            | deliverShipment       | 455             | 103             | 103             | 3588            |
| 1       | vehicle10            | deliverShipment       | 961             | 104             | 104             | 3660            |
| 1       | vehicle10            | deliverShipment       | 143             | 105             | 105             | 3701            |
| 1       | vehicle10            | deliverShipment       | 930             | 110             | 110             | 3720            |
| 1       | vehicle10            | pickupShipment        | 59              | 114             | 115             | 4720            |
| 1       | vehicle10            | pickupShipment        | 517             | 115             | 116             | 4720            |
| 1       | vehicle10            | pickupShipment        | 243             | 116             | 117             | 4720            |
| 1       | vehicle10            | pickupShipment        | 586             | 117             | 118             | 4720            |
| 1       | vehicle10            | deliverShipment       | 243             | 128             | 128             | 5659            |
| 1       | vehicle10            | deliverShipment       | 586             | 133             | 133             | 5688            |
| 1       | vehicle10            | deliverShipment       | 157             | 135             | 135             | 5696            |
| 1       | vehicle10            | deliverShipment       | 976             | 136             | 136             | 5716            |
| 1       | vehicle10            | deliverShipment       | 279             | 143             | 143             | 5752            |
| 1       | vehicle10            | deliverShipment       | 241             | 149             | 149             | 5796            |
| 1       | vehicle10            | deliverShipment       | 161             | 155             | 155             | 5811            |
| 1       | vehicle10            | deliverShipment       | 684             | 163             | 163             | 5837            |
| 1       | vehicle10            | pickupShipment        | 701             | 173             | 174             | 6805            |
| 1       | vehicle10            | pickupShipment        | 846             | 174             | 175             | 6805            |
| 1       | vehicle10            | pickupShipment        | 82              | 175             | 176             | 6805            |
| 1       | vehicle10            | pickupShipment        | 591             | 176             | 177             | 6805            |
| 1       | vehicle10            | pickupShipment        | 649             | 177             | 178             | 6805            |
| 1       | vehicle10            | pickupShipment        | 459             | 178             | 179             | 6805            |
| 1       | vehicle10            | pickupShipment        | 483             | 179             | 180             | 6805            |
| 1       | vehicle10            | pickupShipment        | 821             | 180             | 181             | 6805            |
| 1       | vehicle10            | deliverShipment       | 701             | 191             | 191             | 6944            |
| 1       | vehicle10            | deliverShipment       | 517             | 200             | 200             | 7070            |
| 1       | vehicle10            | deliverShipment       | 59              | 208             | 208             | 7093            |
| 1       | vehicle10            | deliverShipment       | 483             | 215             | 215             | 7152            |
| 1       | vehicle10            | deliverShipment       | 459             | 217             | 217             | 7220            |
| 1       | vehicle10            | deliverShipment       | 649             | 225             | 225             | 7263            |
| 1       | vehicle10            | deliverShipment       | 821             | 233             | 233             | 7280            |
| 1       | vehicle10            | deliverShipment       | 591             | 240             | 240             | 7299            |
| 1       | vehicle10            | deliverShipment       | 82              | 246             | 246             | 7326            |
| 1       | vehicle10            | deliverShipment       | 846             | 252             | 252             | 7366            |
| 1       | vehicle10            | end                   | -               | 261             | undef           | 7500            |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 2       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 2       | vehicle10            | pickupShipment        | 496             | 0               | 1               | 0               |
| 2       | vehicle10            | pickupShipment        | 494             | 1               | 2               | 0               |
| 2       | vehicle10            | pickupShipment        | 125             | 2               | 3               | 0               |
| 2       | vehicle10            | pickupShipment        | 584             | 3               | 4               | 0               |
| 2       | vehicle10            | pickupShipment        | 710             | 4               | 5               | 0               |
| 2       | vehicle10            | pickupShipment        | 940             | 5               | 6               | 0               |
| 2       | vehicle10            | pickupShipment        | 216             | 6               | 7               | 0               |
| 2       | vehicle10            | pickupShipment        | 120             | 7               | 8               | 0               |
| 2       | vehicle10            | pickupShipment        | 91              | 8               | 9               | 0               |
| 2       | vehicle10            | pickupShipment        | 182             | 9               | 10              | 0               |
| 2       | vehicle10            | deliverShipment       | 584             | 15              | 15              | 913             |
| 2       | vehicle10            | deliverShipment       | 710             | 24              | 24              | 935             |
| 2       | vehicle10            | deliverShipment       | 940             | 29              | 29              | 963             |
| 2       | vehicle10            | deliverShipment       | 216             | 30              | 30              | 974             |
| 2       | vehicle10            | deliverShipment       | 91              | 38              | 38              | 1021            |
| 2       | vehicle10            | deliverShipment       | 182             | 42              | 42              | 1049            |
| 2       | vehicle10            | deliverShipment       | 120             | 45              | 45              | 1098            |
| 2       | vehicle10            | deliverShipment       | 125             | 47              | 47              | 1105            |
| 2       | vehicle10            | pickupShipment        | 987             | 57              | 58              | 2028            |
| 2       | vehicle10            | pickupShipment        | 481             | 58              | 59              | 2028            |
| 2       | vehicle10            | deliverShipment       | 987             | 64              | 64              | 2064            |
| 2       | vehicle10            | deliverShipment       | 494             | 74              | 74              | 2155            |
| 2       | vehicle10            | deliverShipment       | 496             | 82              | 82              | 2202            |
| 2       | vehicle10            | deliverShipment       | 481             | 84              | 84              | 2243            |
| 2       | vehicle10            | pickupShipment        | 620             | 88              | 89              | 3204            |
| 2       | vehicle10            | pickupShipment        | 194             | 89              | 90              | 3204            |
| 2       | vehicle10            | pickupShipment        | 942             | 90              | 91              | 3204            |
| 2       | vehicle10            | pickupShipment        | 550             | 91              | 92              | 3204            |
| 2       | vehicle10            | pickupShipment        | 261             | 92              | 93              | 3204            |
| 2       | vehicle10            | pickupShipment        | 42              | 93              | 94              | 3204            |
| 2       | vehicle10            | pickupShipment        | 514             | 94              | 95              | 3204            |
| 2       | vehicle10            | pickupShipment        | 668             | 95              | 96              | 3204            |
| 2       | vehicle10            | pickupShipment        | 393             | 96              | 97              | 3204            |
| 2       | vehicle10            | pickupShipment        | 925             | 97              | 98              | 3204            |
| 2       | vehicle10            | deliverShipment       | 942             | 108             | 108             | 4158            |
| 2       | vehicle10            | deliverShipment       | 550             | 109             | 109             | 4170            |
| 2       | vehicle10            | deliverShipment       | 261             | 110             | 110             | 4186            |
| 2       | vehicle10            | deliverShipment       | 42              | 116             | 116             | 4222            |
| 2       | vehicle10            | deliverShipment       | 668             | 118             | 118             | 4250            |
| 2       | vehicle10            | deliverShipment       | 393             | 120             | 120             | 4255            |
| 2       | vehicle10            | deliverShipment       | 925             | 124             | 124             | 4273            |
| 2       | vehicle10            | deliverShipment       | 514             | 126             | 126             | 4344            |
| 2       | vehicle10            | deliverShipment       | 194             | 130             | 130             | 4367            |
| 2       | vehicle10            | deliverShipment       | 620             | 133             | 133             | 4378            |
| 2       | vehicle10            | pickupShipment        | 337             | 136             | 137             | 5308            |
| 2       | vehicle10            | pickupShipment        | 123             | 137             | 138             | 5308            |
| 2       | vehicle10            | pickupShipment        | 600             | 138             | 139             | 5308            |
| 2       | vehicle10            | pickupShipment        | 176             | 139             | 140             | 5308            |
| 2       | vehicle10            | pickupShipment        | 776             | 140             | 141             | 5308            |
| 2       | vehicle10            | pickupShipment        | 19              | 141             | 142             | 5308            |
| 2       | vehicle10            | pickupShipment        | 407             | 142             | 143             | 5308            |
| 2       | vehicle10            | pickupShipment        | 656             | 143             | 144             | 5308            |
| 2       | vehicle10            | pickupShipment        | 923             | 144             | 145             | 5308            |
| 2       | vehicle10            | deliverShipment       | 337             | 151             | 151             | 6230            |
| 2       | vehicle10            | deliverShipment       | 123             | 158             | 158             | 6248            |
| 2       | vehicle10            | deliverShipment       | 600             | 160             | 160             | 6259            |
| 2       | vehicle10            | deliverShipment       | 176             | 163             | 163             | 6284            |
| 2       | vehicle10            | deliverShipment       | 19              | 170             | 170             | 6308            |
| 2       | vehicle10            | deliverShipment       | 656             | 175             | 175             | 6326            |
| 2       | vehicle10            | deliverShipment       | 923             | 183             | 183             | 6357            |
| 2       | vehicle10            | deliverShipment       | 407             | 190             | 190             | 6403            |
| 2       | vehicle10            | deliverShipment       | 776             | 194             | 194             | 6426            |
| 2       | vehicle10            | pickupShipment        | 73              | 196             | 197             | 7373            |
| 2       | vehicle10            | pickupShipment        | 856             | 197             | 198             | 7373            |
| 2       | vehicle10            | pickupShipment        | 807             | 198             | 199             | 7373            |
| 2       | vehicle10            | pickupShipment        | 391             | 199             | 200             | 7373            |
| 2       | vehicle10            | pickupShipment        | 804             | 200             | 201             | 7373            |
| 2       | vehicle10            | pickupShipment        | 827             | 201             | 202             | 7373            |
| 2       | vehicle10            | pickupShipment        | 162             | 202             | 203             | 7373            |
| 2       | vehicle10            | pickupShipment        | 179             | 203             | 204             | 7373            |
| 2       | vehicle10            | pickupShipment        | 929             | 204             | 205             | 7373            |
| 2       | vehicle10            | pickupShipment        | 282             | 205             | 206             | 7373            |
| 2       | vehicle10            | deliverShipment       | 856             | 214             | 214             | 7443            |
| 2       | vehicle10            | deliverShipment       | 73              | 221             | 221             | 7467            |
| 2       | vehicle10            | deliverShipment       | 391             | 225             | 225             | 7502            |
| 2       | vehicle10            | deliverShipment       | 804             | 226             | 226             | 7521            |
| 2       | vehicle10            | deliverShipment       | 827             | 228             | 228             | 7544            |
| 2       | vehicle10            | deliverShipment       | 162             | 235             | 235             | 7622            |
| 2       | vehicle10            | deliverShipment       | 179             | 244             | 244             | 7653            |
| 2       | vehicle10            | deliverShipment       | 929             | 245             | 245             | 7735            |
| 2       | vehicle10            | deliverShipment       | 282             | 246             | 246             | 7751            |
| 2       | vehicle10            | deliverShipment       | 807             | 248             | 248             | 7760            |
| 2       | vehicle10            | end                   | -               | 249             | undef           | 7763            |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 3       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 3       | vehicle10            | pickupShipment        | 789             | 0               | 1               | 0               |
| 3       | vehicle10            | pickupShipment        | 303             | 1               | 2               | 0               |
| 3       | vehicle10            | pickupShipment        | 451             | 2               | 3               | 0               |
| 3       | vehicle10            | pickupShipment        | 320             | 3               | 4               | 0               |
| 3       | vehicle10            | pickupShipment        | 323             | 4               | 5               | 0               |
| 3       | vehicle10            | pickupShipment        | 427             | 5               | 6               | 0               |
| 3       | vehicle10            | pickupShipment        | 934             | 6               | 7               | 0               |
| 3       | vehicle10            | pickupShipment        | 366             | 7               | 8               | 0               |
| 3       | vehicle10            | pickupShipment        | 839             | 8               | 9               | 0               |
| 3       | vehicle10            | pickupShipment        | 351             | 9               | 10              | 0               |
| 3       | vehicle10            | deliverShipment       | 789             | 18              | 18              | 275             |
| 3       | vehicle10            | deliverShipment       | 320             | 27              | 27              | 363             |
| 3       | vehicle10            | deliverShipment       | 303             | 35              | 35              | 433             |
| 3       | vehicle10            | pickupShipment        | 741             | 36              | 37              | 1335            |
| 3       | vehicle10            | pickupShipment        | 679             | 37              | 38              | 1335            |
| 3       | vehicle10            | pickupShipment        | 46              | 38              | 39              | 1335            |
| 3       | vehicle10            | deliverShipment       | 741             | 40              | 40              | 1561            |
| 3       | vehicle10            | deliverShipment       | 351             | 41              | 41              | 1634            |
| 3       | vehicle10            | deliverShipment       | 46              | 44              | 44              | 1680            |
| 3       | vehicle10            | deliverShipment       | 323             | 46              | 46              | 1773            |
| 3       | vehicle10            | deliverShipment       | 366             | 47              | 47              | 1868            |
| 3       | vehicle10            | deliverShipment       | 839             | 52              | 52              | 1885            |
| 3       | vehicle10            | deliverShipment       | 934             | 55              | 55              | 1917            |
| 3       | vehicle10            | deliverShipment       | 427             | 63              | 63              | 1944            |
| 3       | vehicle10            | deliverShipment       | 451             | 65              | 65              | 1975            |
| 3       | vehicle10            | deliverShipment       | 679             | 66              | 66              | 2020            |
| 3       | vehicle10            | pickupShipment        | 538             | 67              | 68              | 2840            |
| 3       | vehicle10            | pickupShipment        | 369             | 68              | 69              | 2840            |
| 3       | vehicle10            | pickupShipment        | 899             | 69              | 70              | 2840            |
| 3       | vehicle10            | pickupShipment        | 352             | 70              | 71              | 2840            |
| 3       | vehicle10            | pickupShipment        | 271             | 71              | 72              | 2840            |
| 3       | vehicle10            | pickupShipment        | 424             | 72              | 73              | 2840            |
| 3       | vehicle10            | pickupShipment        | 978             | 73              | 74              | 2840            |
| 3       | vehicle10            | pickupShipment        | 564             | 74              | 75              | 2840            |
| 3       | vehicle10            | pickupShipment        | 190             | 75              | 76              | 2840            |
| 3       | vehicle10            | pickupShipment        | 688             | 76              | 77              | 2840            |
| 3       | vehicle10            | deliverShipment       | 538             | 80              | 80              | 3749            |
| 3       | vehicle10            | deliverShipment       | 369             | 83              | 83              | 3758            |
| 3       | vehicle10            | pickupShipment        | 745             | 85              | 86              | 4693            |
| 3       | vehicle10            | pickupShipment        | 77              | 86              | 87              | 4693            |
| 3       | vehicle10            | deliverShipment       | 899             | 91              | 91              | 5633            |
| 3       | vehicle10            | deliverShipment       | 352             | 99              | 99              | 5656            |
| 3       | vehicle10            | deliverShipment       | 271             | 102             | 102             | 5691            |
| 3       | vehicle10            | deliverShipment       | 688             | 110             | 110             | 5711            |
| 3       | vehicle10            | deliverShipment       | 77              | 117             | 117             | 5740            |
| 3       | vehicle10            | deliverShipment       | 745             | 118             | 118             | 5759            |
| 3       | vehicle10            | pickupShipment        | 116             | 121             | 122             | 6644            |
| 3       | vehicle10            | pickupShipment        | 405             | 122             | 123             | 6644            |
| 3       | vehicle10            | pickupShipment        | 832             | 123             | 124             | 6644            |
| 3       | vehicle10            | pickupShipment        | 342             | 124             | 125             | 6644            |
| 3       | vehicle10            | pickupShipment        | 937             | 125             | 126             | 6644            |
| 3       | vehicle10            | pickupShipment        | 1               | 126             | 127             | 6644            |
| 3       | vehicle10            | deliverShipment       | 116             | 137             | 137             | 7552            |
| 3       | vehicle10            | deliverShipment       | 405             | 147             | 147             | 7583            |
| 3       | vehicle10            | deliverShipment       | 832             | 155             | 155             | 7644            |
| 3       | vehicle10            | deliverShipment       | 342             | 158             | 158             | 7661            |
| 3       | vehicle10            | deliverShipment       | 937             | 162             | 162             | 7710            |
| 3       | vehicle10            | deliverShipment       | 1               | 167             | 167             | 7767            |
| 3       | vehicle10            | deliverShipment       | 190             | 177             | 177             | 7789            |
| 3       | vehicle10            | pickupShipment        | 170             | 185             | 186             | 8706            |
| 3       | vehicle10            | pickupShipment        | 697             | 186             | 187             | 8706            |
| 3       | vehicle10            | pickupShipment        | 808             | 187             | 188             | 8706            |
| 3       | vehicle10            | pickupShipment        | 321             | 188             | 189             | 8706            |
| 3       | vehicle10            | pickupShipment        | 207             | 189             | 190             | 8706            |
| 3       | vehicle10            | pickupShipment        | 24              | 190             | 191             | 8706            |
| 3       | vehicle10            | pickupShipment        | 537             | 191             | 192             | 8706            |
| 3       | vehicle10            | deliverShipment       | 170             | 194             | 194             | 8902            |
| 3       | vehicle10            | deliverShipment       | 697             | 195             | 195             | 8926            |
| 3       | vehicle10            | deliverShipment       | 808             | 201             | 201             | 8941            |
| 3       | vehicle10            | deliverShipment       | 321             | 208             | 208             | 8967            |
| 3       | vehicle10            | deliverShipment       | 207             | 217             | 217             | 8999            |
| 3       | vehicle10            | deliverShipment       | 24              | 222             | 222             | 9035            |
| 3       | vehicle10            | deliverShipment       | 537             | 226             | 226             | 9049            |
| 3       | vehicle10            | deliverShipment       | 424             | 231             | 231             | 9099            |
| 3       | vehicle10            | deliverShipment       | 978             | 241             | 241             | 9164            |
| 3       | vehicle10            | deliverShipment       | 564             | 243             | 243             | 9177            |
| 3       | vehicle10            | end                   | -               | 253             | undef           | 9215            |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 4       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 4       | vehicle10            | pickupShipment        | 475             | 0               | 1               | 0               |
| 4       | vehicle10            | pickupShipment        | 764             | 1               | 2               | 0               |
| 4       | vehicle10            | pickupShipment        | 851             | 2               | 3               | 0               |
| 4       | vehicle10            | pickupShipment        | 532             | 3               | 4               | 0               |
| 4       | vehicle10            | pickupShipment        | 941             | 4               | 5               | 0               |
| 4       | vehicle10            | pickupShipment        | 847             | 5               | 6               | 0               |
| 4       | vehicle10            | pickupShipment        | 843             | 6               | 7               | 0               |
| 4       | vehicle10            | pickupShipment        | 230             | 7               | 8               | 0               |
| 4       | vehicle10            | pickupShipment        | 797             | 8               | 9               | 0               |
| 4       | vehicle10            | pickupShipment        | 438             | 9               | 10              | 0               |
| 4       | vehicle10            | deliverShipment       | 230             | 18              | 18              | 139             |
| 4       | vehicle10            | deliverShipment       | 438             | 24              | 24              | 170             |
| 4       | vehicle10            | deliverShipment       | 797             | 27              | 27              | 275             |
| 4       | vehicle10            | deliverShipment       | 475             | 30              | 30              | 362             |
| 4       | vehicle10            | pickupShipment        | 732             | 35              | 36              | 405             |
| 4       | vehicle10            | pickupShipment        | 49              | 36              | 37              | 405             |
| 4       | vehicle10            | pickupShipment        | 399             | 37              | 38              | 405             |
| 4       | vehicle10            | pickupShipment        | 817             | 38              | 39              | 405             |
| 4       | vehicle10            | deliverShipment       | 732             | 45              | 45              | 807             |
| 4       | vehicle10            | deliverShipment       | 817             | 51              | 51              | 965             |
| 4       | vehicle10            | deliverShipment       | 847             | 55              | 55              | 991             |
| 4       | vehicle10            | deliverShipment       | 49              | 60              | 60              | 1067            |
| 4       | vehicle10            | pickupShipment        | 209             | 64              | 65              | 1179            |
| 4       | vehicle10            | pickupShipment        | 994             | 65              | 66              | 1179            |
| 4       | vehicle10            | pickupShipment        | 343             | 66              | 67              | 1179            |
| 4       | vehicle10            | pickupShipment        | 118             | 67              | 68              | 1179            |
| 4       | vehicle10            | deliverShipment       | 843             | 70              | 70              | 1371            |
| 4       | vehicle10            | deliverShipment       | 118             | 73              | 73              | 1381            |
| 4       | vehicle10            | deliverShipment       | 941             | 74              | 74              | 1384            |
| 4       | vehicle10            | deliverShipment       | 532             | 82              | 82              | 1407            |
| 4       | vehicle10            | deliverShipment       | 399             | 87              | 87              | 1449            |
| 4       | vehicle10            | deliverShipment       | 851             | 93              | 93              | 1511            |
| 4       | vehicle10            | deliverShipment       | 764             | 96              | 96              | 1622            |
| 4       | vehicle10            | deliverShipment       | 343             | 103             | 103             | 1681            |
| 4       | vehicle10            | deliverShipment       | 994             | 112             | 112             | 1715            |
| 4       | vehicle10            | deliverShipment       | 209             | 120             | 120             | 1736            |
| 4       | vehicle10            | end                   | -               | 125             | undef           | 1902            |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 5       | vehicle10            | start                 | -               | undef           | 0               | 0               |
| 5       | vehicle10            | pickupShipment        | 943             | 0               | 1               | 0               |
| 5       | vehicle10            | pickupShipment        | 212             | 1               | 2               | 0               |
| 5       | vehicle10            | pickupShipment        | 432             | 2               | 3               | 0               |
| 5       | vehicle10            | pickupShipment        | 44              | 3               | 4               | 0               |
| 5       | vehicle10            | pickupShipment        | 662             | 4               | 5               | 0               |
| 5       | vehicle10            | pickupShipment        | 244             | 5               | 6               | 0               |
| 5       | vehicle10            | pickupShipment        | 826             | 6               | 7               | 0               |
| 5       | vehicle10            | pickupShipment        | 444             | 7               | 8               | 0               |
| 5       | vehicle10            | pickupShipment        | 599             | 8               | 9               | 0               |
| 5       | vehicle10            | pickupShipment        | 658             | 9               | 10              | 0               |
| 5       | vehicle10            | deliverShipment       | 432             | 14              | 14              | 116             |
| 5       | vehicle10            | deliverShipment       | 943             | 23              | 23              | 204             |
| 5       | vehicle10            | deliverShipment       | 444             | 25              | 25              | 313             |
| 5       | vehicle10            | deliverShipment       | 599             | 29              | 29              | 341             |
| 5       | vehicle10            | deliverShipment       | 658             | 32              | 32              | 392             |
| 5       | vehicle10            | deliverShipment       | 826             | 33              | 33              | 407             |
| 5       | vehicle10            | deliverShipment       | 244             | 34              | 34              | 414             |
| 5       | vehicle10            | deliverShipment       | 662             | 37              | 37              | 442             |
| 5       | vehicle10            | deliverShipment       | 212             | 40              | 40              | 449             |
| 5       | vehicle10            | pickupShipment        | 40              | 43              | 44              | 473             |
| 5       | vehicle10            | pickupShipment        | 520             | 44              | 45              | 473             |
| 5       | vehicle10            | pickupShipment        | 220             | 45              | 46              | 473             |
| 5       | vehicle10            | pickupShipment        | 508             | 46              | 47              | 473             |
| 5       | vehicle10            | pickupShipment        | 543             | 47              | 48              | 473             |
| 5       | vehicle10            | pickupShipment        | 911             | 48              | 49              | 473             |
| 5       | vehicle10            | pickupShipment        | 151             | 49              | 50              | 473             |
| 5       | vehicle10            | pickupShipment        | 959             | 50              | 51              | 473             |
| 5       | vehicle10            | pickupShipment        | 322             | 51              | 52              | 473             |
| 5       | vehicle10            | deliverShipment       | 520             | 59              | 59              | 764             |
| 5       | vehicle10            | deliverShipment       | 151             | 61              | 61              | 961             |
| 5       | vehicle10            | deliverShipment       | 959             | 64              | 64              | 988             |
| 5       | vehicle10            | deliverShipment       | 322             | 67              | 67              | 1007            |
| 5       | vehicle10            | deliverShipment       | 44              | 70              | 70              | 1154            |
| 5       | vehicle10            | pickupShipment        | 822             | 77              | 78              | 1241            |
| 5       | vehicle10            | pickupShipment        | 569             | 78              | 79              | 1241            |
| 5       | vehicle10            | pickupShipment        | 840             | 79              | 80              | 1241            |
| 5       | vehicle10            | pickupShipment        | 739             | 80              | 81              | 1241            |
| 5       | vehicle10            | pickupShipment        | 353             | 81              | 82              | 1241            |
| 5       | vehicle10            | deliverShipment       | 569             | 84              | 84              | 1346            |
| 5       | vehicle10            | deliverShipment       | 911             | 87              | 87              | 1372            |
| 5       | vehicle10            | deliverShipment       | 543             | 90              | 90              | 1386            |
| 5       | vehicle10            | deliverShipment       | 822             | 97              | 97              | 1651            |
| 5       | vehicle10            | pickupShipment        | 773             | 106             | 107             | 1714            |
| 5       | vehicle10            | pickupShipment        | 920             | 107             | 108             | 1714            |
| 5       | vehicle10            | pickupShipment        | 905             | 108             | 109             | 1714            |
| 5       | vehicle10            | pickupShipment        | 218             | 109             | 110             | 1714            |
| 5       | vehicle10            | deliverShipment       | 773             | 112             | 112             | 2533            |
| 5       | vehicle10            | deliverShipment       | 920             | 119             | 119             | 2548            |
| 5       | vehicle10            | deliverShipment       | 905             | 120             | 120             | 2573            |
| 5       | vehicle10            | deliverShipment       | 218             | 125             | 125             | 2599            |
| 5       | vehicle10            | deliverShipment       | 508             | 126             | 126             | 2623            |
| 5       | vehicle10            | deliverShipment       | 220             | 127             | 127             | 2639            |
| 5       | vehicle10            | deliverShipment       | 40              | 130             | 130             | 2762            |
| 5       | vehicle10            | pickupShipment        | 270             | 135             | 136             | 3254            |
| 5       | vehicle10            | pickupShipment        | 742             | 136             | 137             | 3254            |
| 5       | vehicle10            | pickupShipment        | 362             | 137             | 138             | 3254            |
| 5       | vehicle10            | pickupShipment        | 305             | 138             | 139             | 3254            |
| 5       | vehicle10            | pickupShipment        | 988             | 139             | 140             | 3254            |
| 5       | vehicle10            | pickupShipment        | 714             | 140             | 141             | 3254            |
